Naam;site;tel;lat;lon
Camping Du Chalelet;https://www.camping-chatelet.com/;33450725260;46.34066673;6.396851745
Camping Municipal des Thézières;https://camping-taninges.fr/;33450342559;46.09935025;6.587674497
Camping Familial L'Horizon Bleu à Cluses;https://www.camping-lhorizonbleu.fr/;33450984403;46.06926565;6.573641353
Camping du Cret;http://www.camping-du-cret.com/;33680215513;45.924690213210795;6.402674486002258
Camping Bornand;http://www.camping-megeve.com/;33450930086;45.87992817;6.641676979
Camping Chantalouette;http://www.prazarly.fr/;33450219025;45.83630829;6.567203115
Camping Le Reclus;http://www.campinglereclus.com/;33479410105;45.62563288;6.791939807
Camping Huttopia Bourg Saint Maurice;https://europe.huttopia.com/site/camping-bourg-saint-maurice/?session=2;33479070345;45.62237544;6.78464427
Camping Les Combes Modane;http://camping-modane.com/;33456968519;45.19425981;6.664180636
Camping d'Orelle;http://reservation.orelle.net/;33479568722;45.20886794;6.5368605
Camping des 5 Vallées;http://www.camping5vallees.com/;33492210627;44.87734213;6.616373541
Camping Caravaneige the Iscle Prelles;https://www.camping-iscledeprelles.com/;33492202866;44.85710933;6.58984507
Camping le Planet;https://www.camping-jausiers.fr/;33689206449;44.41966125;6.737015499
Camping du Plan;https://www.campingduplan.com/;33492810811;44.38435058;6.642696041
Camping La Chaup;http://www.campinglachaup.fr/;33492810282;44.38139574;6.67586697
Camping à la Ferme;http://www.camping-ferme.com/;33493028330;44.06541866;7.19573376
Camping Municipal de Valdeblore;https://www.colmiane.com/hebergements/campings/joomlannuaire/fiche/43-camping-caravaning-municipal/6-campings.html;33493027885;44.07056294;7.210347549
Camping la giandolla;https://www.google.com/search?q=Camping+la+giandolla;33630783374;43.78840477;7.443902937
Camping de La Laune;https://www.campingdelalaune.com/;33493799161;43.77219877;7.373324304
CAMPING LE PARC SAINT MICHEL;https://www.campingscotedazur.com/;33982212795;43.77918841;7.498081082
Le Mas Fleuri;http://www.camping-mas-fleuri.com/;33603269607;43.88364891;7.425603058
CAMPING DOMAINE SAINTE MADELEINE;https://www.camping-sainte-madeleine.com/fr/;33493041048;43.8968113;7.416417328
Camping du plan d'eau;http://campingduplandeau.com/;33493024157;44.25815034;6.922558458
L'ETOILE DU LAC DES NEIGES;"""""";33493032256;44.18812332;7.042133508
Camping A La Ferme St. Joseph;http://www.camping-alafermestjoseph.com/;33670519014;44.0646242;7.257140236
"Camping du lac - ""les Iscles""";https://www.aucampingdulac.fr/;33492579773;44.67693632;6.608677245
L' Epervière;"""""";33492451376;44.66467029;6.653566783
Camping La Rochette;https://www.campingguillestre.com/;33492450215;44.65833628;6.638162925
Camping Les Templiers;http://www.campinglestempliers.fr/;33493034028;44.0163424;7.31067546
Camping Domelin - Onlycamp;https://camping-beaufort.fr/;33479383388;45.72142539;6.563939225
Camping De L'Izoard;http://campingdelizoard.com/;33633339812;44.79921104;6.716676985
Camping les 2 glaciers;http://www.monetier.com/la-mairie-et-ses-services/services-en-mairie/services-municipaux/115-camping-municipal;33789565877;44.98063271;6.495344471
CAMPING MUNICIPAL BEL-ISCLE;http://www.haute-ubaye.com/hebergements/campings/camping-bel-iscle--camping18.html;33492843831;44.51672266;6.757041157
Camping Club Léman;http://campingclubleman.ch/wordpress/?lang=en;41798845764;46.50988733;6.542194917
"Camping ""Le Nozon""";http://www.camping-romainmotier.ch/;41244531370;46.69037493;6.466918545
