Datum;Etappe;Naam;Cat;Lengte;Hoogtemeters;Gem Percentage;Steilste 100m;Klimpunten;Profiel;URL;lat;lon
14-8-2023;1;Les Gets;3;7.1;284;4;10.1;154;Link;https://climbfinder.com/nl/beklimmingen/les-gets-morzine ;46.16036691;6.669185099
15-8-2023;2;Col de la Colombière;HC;16.3;1124;6.9;14.8;934;Link;https://climbfinder.com/nl/beklimmingen/col-de-la-colombiere-scionzier ;45.99216354;6.475503134
15-8-2023;2;Col des Aravis;3;12.8;526;4.1;11.3;550;Link;https://climbfinder.com/nl/beklimmingen/col-des-aravis-thones ;45.87233412;6.46474879
16-8-2023;3;Col des Saisies;2;14.8;769;5.2;12.8;551;Link;https://climbfinder.com/nl/beklimmingen/col-des-saisies-flumet ;45.75962589;6.534149667
16-8-2023;3;Cormet de Roselend;HC;20.3;1245;6.1;14.2;1011;Link;https://climbfinder.com/nl/beklimmingen/cormet-de-roselend;45.69133584;6.690673007
18-8-2023;4;Col de l'Iseran;HC;47.4;2049;4.3;9.6;1261;Link;https://climbfinder.com/nl/beklimmingen/col-de-l-iseran-bourg-saint-maurice ;45.41710499;7.030867392
19-8-2023;5;Col du Télégraphe;1;11.8;837;7.1;11.2;628;Link;https://climbfinder.com/nl/beklimmingen/col-du-telegraphe ;45.2027071;6.444599392
19-8-2023;5;Col du Galibier;HC;17.5;1213;6.9;11.9;933;Link;https://climbfinder.com/nl/beklimmingen/col-du-galibier-valloire ;45.06411704;6.407875946
20-8-2023;6;Col d'Izoard;1;19.1;1174;6.1;12.9;866;Link;https://climbfinder.com/nl/beklimmingen/col-d-izoard-briancon ;44.81965295;6.734987236
20-8-2023;6;Col de Vars;1;18.9;1119;5.9;11.9;799;Link;https://climbfinder.com/nl/beklimmingen/col-de-vars-guillestre ;44.53882579;6.702837471
22-8-2023;7;Col de la Bonette;HC;23.3;1590;6.8;14.1;1281;Link;https://climbfinder.com/nl/beklimmingen/col-de-la-bonette-jausiers ;44.32046375;6.807303556
23-8-2023;8;Col Saint-Martin / Col Colmiane;1;16;1000;6.3;14.3;682;Link;https://climbfinder.com/nl/beklimmingen/col-saint-martin-col-colmiane-la-bouline ;44.07094438;7.221437289
23-8-2023;8;Col de Turini;1;15.2;1102;7.3;15.2;844;Link;https://climbfinder.com/nl/beklimmingen/col-de-turini-quartier-boutas ;43.97760694;7.391571124
24-8-2023;9;Col de Castillon;3;6.8;365;5.4;7.8;200;Link;https://climbfinder.com/nl/beklimmingen/col-de-castillon-sospel ;43.83999213;7.459950668
